Activity Id,Students Sets,Subject,Teachers,Room,SKS
184,EE-02-01,23298 - EEA3211 - PRAKTIKUM SISTEM TENAGA ELEKTRIK,ISA,LAB,1
185,EE-02-01,23399 - EEA30C3 - ELEKTRONIKA DAYA,ISA,KELAS,3
186,EE-03-01,23342 - FEA2223 - ELEKTROMAGNETIKA,ISA,KELAS,3
187,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
188,CE-04-01,23192 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
189,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
190,EE-04-01,23273 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
191,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
192,IE-04-01,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
193,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
194,IE-04-02,23430 - MAA1214 - KALKULUS 2A,KHG,KELAS,2
195,EE-01-01,23654 - FEA4054 - TUGAS AKHIR,KHL,KELAS,4
196,EE-02-01,23299 - EEA3223 - SISTEM TELEKOMUNIKASI,KHL,KELAS,3
197,EE-02-01,23302 - EEA3221 - PRAKTIKUM SISTEM TELEKOMUNIKASI,KHL,LAB,1
198,EE-02-01,23391 - FEA4042 - METODE PENELITIAN DAN PENGEMBANGAN,KHL,KELAS,2
199,EE-03-01,23334 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,KHL,KELAS,3
200,EE-03-01,23338 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,KHL,LAB,1
201,EE-03-01,23347 - MAA2013 - PROBABILITAS DAN STATISTIK,KHL,KELAS,3
202,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,KELAS,3
203,IF-01-02,23922 - IFB1214 - ALGORITMA DAN STRUKTUR DATA,KMD,LAB,3
204,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,KELAS,3
205,IS-03-04,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,KMD,LAB,3
206,IT-02-01,23771 - ITA3233 - DATA WAREHOUSE,KMD,KELAS,3
